10 Bře 2015 22:36:56,434 DEBUG connection.Server - Game manager created, maximum number of rooms is 5, maximum number of players per room is 1
10 Bře 2015 22:36:56,434  INFO connection.Server - Server started! Listening on port 6666
16 Bře 2015 01:43:10,462  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 01:43:10,466 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 01:43:10,467 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 01:43:10,470  INFO game.Room - Created a new room 1426466590470
16 Bře 2015 01:43:10,470  INFO game.Room - Player tester has entered the room 1426466590470
16 Bře 2015 01:43:24,641 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 01:43:24,641 DEBUG game.Room - Broadcasted message game-end to room 1426466590470
16 Bře 2015 01:43:24,641 DEBUG game.GameManager - Sent game-end to all other players in room 1426466590470
16 Bře 2015 01:43:24,642  INFO game.GameManager - The game has ended in room 1426466590470
16 Bře 2015 01:43:24,642  INFO game.Room - Player tester has left the room 1426466590470
16 Bře 2015 01:43:24,642 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 01:43:24,642 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 01:43:24,642  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:02:07,162  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:02:07,164 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:02:07,164 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:02:07,166  INFO game.Room - Created a new room 1426467727166
16 Bře 2015 02:02:07,166  INFO game.Room - Player tester has entered the room 1426467727166
16 Bře 2015 02:02:08,352 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:02:08,352 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:02:27,867 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:02:27,868 DEBUG game.Room - Broadcasted message game-end to room 1426467727166
16 Bře 2015 02:02:27,868 DEBUG game.GameManager - Sent game-end to all other players in room 1426467727166
16 Bře 2015 02:02:27,868  INFO game.GameManager - The game has ended in room 1426467727166
16 Bře 2015 02:02:27,868  INFO game.Room - Player tester has left the room 1426467727166
16 Bře 2015 02:02:27,868 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:02:27,868 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:02:27,868  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:03:22,829  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:03:22,831 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:03:22,831 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:03:22,832  INFO game.Room - Player tester has entered the room 1426467727166
16 Bře 2015 02:03:22,832  INFO game.GameManager - Starting game in room 1426467727166 in 5 seconds
16 Bře 2015 02:03:22,836 DEBUG game.Room - Broadcasted message user1-tester to room 1426467727166
16 Bře 2015 02:03:22,837  INFO game.Starter - Starting game in room 1426467727166 in 5 seconds
16 Bře 2015 02:03:24,044 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:03:24,044 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:03:27,838 DEBUG game.Player - Sent message game-start to player tester in room 1426467727166
16 Bře 2015 02:03:27,838 DEBUG game.Room - Broadcasted message game-start to room 1426467727166
16 Bře 2015 02:03:27,838  INFO game.Starter - Game in room 1426467727166 has started
16 Bře 2015 02:03:30,984 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:03:30,984 DEBUG game.Room - Broadcasted message game-end to room 1426467727166
16 Bře 2015 02:03:30,984 DEBUG game.GameManager - Sent game-end to all other players in room 1426467727166
16 Bře 2015 02:03:30,984  INFO game.GameManager - The game has ended in room 1426467727166
16 Bře 2015 02:03:30,984  INFO game.Room - Player tester has left the room 1426467727166
16 Bře 2015 02:03:30,985 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:03:30,985 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:03:30,986  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:03:47,925  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:03:47,927 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:03:47,927 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:03:47,929  INFO game.Room - Created a new room 1426467827929
16 Bře 2015 02:03:47,929  INFO game.Room - Player tester has entered the room 1426467827929
16 Bře 2015 02:03:50,464 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:03:50,464 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:07:20,514 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:07:20,514 DEBUG game.Room - Broadcasted message game-end to room 1426467827929
16 Bře 2015 02:07:20,514 DEBUG game.GameManager - Sent game-end to all other players in room 1426467827929
16 Bře 2015 02:07:20,514  INFO game.GameManager - The game has ended in room 1426467827929
16 Bře 2015 02:07:20,514  INFO game.Room - Player tester has left the room 1426467827929
16 Bře 2015 02:07:20,514 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:07:20,514 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:07:20,515  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:07:25,539  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:07:25,542 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:07:25,542 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:07:25,542  INFO game.Room - Player tester has entered the room 1426467827929
16 Bře 2015 02:07:25,542  INFO game.GameManager - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:07:25,546 DEBUG game.Room - Broadcasted message user1-tester to room 1426467827929
16 Bře 2015 02:07:25,547  INFO game.Starter - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:07:26,012 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:07:26,012 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:07:30,551 DEBUG game.Player - Sent message game-start to player tester in room 1426467827929
16 Bře 2015 02:07:30,551 DEBUG game.Room - Broadcasted message game-start to room 1426467827929
16 Bře 2015 02:07:30,551  INFO game.Starter - Game in room 1426467827929 has started
16 Bře 2015 02:08:27,649 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:08:27,649 DEBUG game.Room - Broadcasted message game-end to room 1426467827929
16 Bře 2015 02:08:27,649 DEBUG game.GameManager - Sent game-end to all other players in room 1426467827929
16 Bře 2015 02:08:27,649  INFO game.GameManager - The game has ended in room 1426467827929
16 Bře 2015 02:08:27,650  INFO game.Room - Player tester has left the room 1426467827929
16 Bře 2015 02:08:27,650 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:08:27,650 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:08:27,650  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:08:29,847  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:08:29,848 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:08:29,849 DEBUG game.GameManager - Preparing to resolve message: login-tester
